,mst_stress_60d,ricci_mean_60d,ricci_min_60d,ricci_p10_60d,ricci_std_60d,mst_stress_core_60d,ricci_mean_core_60d,ricci_min_core_60d,ricci_p10_core_60d,ricci_std_core_60d,dist_silver_gold_60d,corr_silver_gold_60d,dist_silver_dxy_60d,corr_silver_dxy_60d,ga_rotor_magnitude_60d,ga_bivector_energy_60d
mst_stress_60d,1.0,-0.7570712251729673,-0.5239536914418346,-0.053777058741872656,-0.3173236468699205,0.678661483376943,-0.33278181748544605,-0.08731244387932006,0.3565810851616522,-0.6682574007066616,0.046372222766704246,-0.030482609286049813,-0.1389780150767718,0.14369555026120698,-0.040578892511214444,-0.14181351166905873
ricci_mean_60d,-0.7570712251729673,1.0,0.5058114087000863,0.3660043999531495,0.014901623328960303,-0.4821525778728876,0.5952845493521872,0.05918479899160722,-0.048182292170550096,0.4770703161164283,-0.18662473359443135,0.16283784693669914,-0.030687311200457926,0.029595735937905706,0.049566457007463004,0.04393258419729706
ricci_min_60d,-0.5239536914418346,0.5058114087000863,1.0,0.10584077680852777,-0.00887531593606561,-0.5137291427693623,0.3114013487113707,0.6850140822877903,-0.13255792380854417,0.3709349120103289,-0.18002015791925444,0.18356528554286888,0.2552774816268682,-0.2535824336509916,0.02223953848995648,-0.056684629678180914
ricci_p10_60d,-0.053777058741872656,0.3660043999531495,0.10584077680852777,1.0,-0.758946705430206,-0.037867851987845015,0.6149344404897914,-0.2073548873303642,0.5314937801946451,-0.22296419908071946,-0.011958087558452665,0.007739130309447443,-0.6649721457052822,0.6711562040526373,0.030132958415908368,-0.004402300843438658
ricci_std_60d,-0.3173236468699205,0.014901623328960303,-0.00887531593606561,-0.758946705430206,1.0,-0.15698840084292232,-0.3719433287789958,0.17646920517837134,-0.44246345348872973,0.44226331372932814,-0.2364434485832495,0.23439147366324023,0.6027947084692398,-0.6110394917602617,-0.011645389230630175,0.0022928167829703115
mst_stress_core_60d,0.678661483376943,-0.4821525778728876,-0.5137291427693623,-0.037867851987845015,-0.15698840084292232,1.0,-0.41145646169136757,-0.20825241200026126,0.36023661478957264,-0.8066274995341647,0.31895626499772317,-0.31417784063082443,-0.11652009366444611,0.12014026819638136,0.007478883404445989,0.036444823123298074
ricci_mean_core_60d,-0.33278181748544605,0.5952845493521872,0.3114013487113707,0.6149344404897914,-0.3719433287789958,-0.41145646169136757,1.0,0.19066899990613126,0.48610266349075204,0.07083652020281839,-0.13403485234665463,0.1131956441840908,-0.4810673412356824,0.48225166079238085,-0.014936669718005046,-0.0030977391765354407
ricci_min_core_60d,-0.08731244387932006,0.05918479899160722,0.6850140822877903,-0.2073548873303642,0.17646920517837134,-0.20825241200026126,0.19066899990613126,1.0,0.01720202039148023,0.037048582240087724,-0.11553674215438575,0.12919052623747182,0.29392070201060844,-0.2930354616084911,-0.04225421797543101,-0.16087827722464282
ricci_p10_core_60d,0.3565810851616522,-0.048182292170550096,-0.13255792380854417,0.5314937801946451,-0.44246345348872973,0.36023661478957264,0.48610266349075204,0.01720202039148023,1.0,-0.6538949248437786,-0.07999443880944349,0.07497167267397797,-0.45832405191755915,0.46931327822766655,0.004444309945570187,-0.06461330315446849
ricci_std_core_60d,-0.6682574007066616,0.4770703161164283,0.3709349120103289,-0.22296419908071946,0.44226331372932814,-0.8066274995341647,0.07083652020281839,0.037048582240087724,-0.6538949248437786,1.0,-0.31893146972163505,0.30949643405604055,0.29682669393840283,-0.3076547565219273,0.0031625763274677463,-0.04634521370005025
dist_silver_gold_60d,0.046372222766704246,-0.18662473359443135,-0.18002015791925444,-0.011958087558452665,-0.2364434485832495,0.31895626499772317,-0.13403485234665463,-0.11553674215438575,-0.07999443880944349,-0.31893146972163505,1.0,-0.9911694801873907,-0.17025625085275795,0.17625909600594694,-0.014937321279865964,0.19735572614705196
corr_silver_gold_60d,-0.030482609286049813,0.16283784693669914,0.18356528554286888,0.007739130309447443,0.23439147366324023,-0.31417784063082443,0.1131956441840908,0.12919052623747182,0.07497167267397797,0.30949643405604055,-0.9911694801873907,1.0,0.1825832442508948,-0.18883625062305626,0.00922009622918931,-0.2062119604513147
dist_silver_dxy_60d,-0.1389780150767718,-0.030687311200457926,0.2552774816268682,-0.6649721457052822,0.6027947084692398,-0.11652009366444611,-0.4810673412356824,0.29392070201060844,-0.45832405191755915,0.29682669393840283,-0.17025625085275795,0.1825832442508948,1.0,-0.9990245993173809,0.023324776126416626,-0.005019069205616149
corr_silver_dxy_60d,0.14369555026120698,0.029595735937905706,-0.2535824336509916,0.6711562040526373,-0.6110394917602617,0.12014026819638136,0.48225166079238085,-0.2930354616084911,0.46931327822766655,-0.3076547565219273,0.17625909600594694,-0.18883625062305626,-0.9990245993173809,1.0,-0.021136212518114837,0.003250005474387413
ga_rotor_magnitude_60d,-0.040578892511214444,0.049566457007463004,0.02223953848995648,0.030132958415908368,-0.011645389230630175,0.007478883404445989,-0.014936669718005046,-0.04225421797543101,0.004444309945570187,0.0031625763274677463,-0.014937321279865964,0.00922009622918931,0.023324776126416626,-0.021136212518114837,1.0,0.025319291913381357
ga_bivector_energy_60d,-0.14181351166905873,0.04393258419729706,-0.056684629678180914,-0.004402300843438658,0.0022928167829703115,0.036444823123298074,-0.0030977391765354407,-0.16087827722464282,-0.06461330315446849,-0.04634521370005025,0.19735572614705196,-0.2062119604513147,-0.005019069205616149,0.003250005474387413,0.025319291913381357,1.0
