date,from,to
2010-02-02,neutral_unknown,neutral_high
2010-03-08,neutral_high,neutral_medium
2010-03-30,neutral_medium,bull_medium
2010-05-07,bull_medium,bull_high
2010-07-06,bull_high,bull_medium
2010-07-16,bull_medium,bear_medium
2010-08-25,bear_medium,bull_medium
2010-09-23,bull_medium,bull_low
2010-10-05,bull_low,bull_medium
2010-10-29,bull_medium,bull_high
2010-11-02,bull_high,bull_medium
2010-11-04,bull_medium,bull_high
2011-01-11,bull_high,bull_medium
2011-01-18,bull_medium,bull_high
2011-02-01,bull_high,bear_high
2011-02-02,bear_high,bear_medium
2011-02-04,bear_medium,bear_high
2011-02-07,bear_high,bear_medium
2011-02-08,bear_medium,bear_high
2011-02-14,bear_high,bear_medium
2011-02-18,bear_medium,bull_medium
2011-03-15,bull_medium,bull_high
2011-04-01,bull_high,bull_medium
2011-04-29,bull_medium,bull_high
2011-05-24,bull_high,bear_high
2011-07-25,bear_high,bull_high
2011-09-27,bull_high,bear_high
2012-02-01,bear_high,bear_medium
2012-02-02,bear_medium,bull_medium
2012-02-29,bull_medium,bull_high
2012-03-30,bull_high,bear_high
2012-05-03,bear_high,bear_medium
2012-06-06,bear_medium,bear_high
2012-06-18,bear_high,bear_medium
2012-06-21,bear_medium,bear_high
2012-07-24,bear_high,bear_medium
2012-07-25,bear_medium,bear_high
2012-07-27,bear_high,bear_medium
2012-08-20,bear_medium,bull_medium
2012-11-08,bull_medium,bear_medium
2012-12-12,bear_medium,bull_medium
2012-12-20,bull_medium,bear_high
2012-12-31,bear_high,bear_medium
2013-01-02,bear_medium,bear_high
2013-01-03,bear_high,bear_medium
2013-01-04,bear_medium,bear_high
2013-01-14,bear_high,bear_medium
2013-03-20,bear_medium,bear_low
2013-03-22,bear_low,bear_medium
2013-03-25,bear_medium,bear_low
2013-04-03,bear_low,bear_medium
2013-04-15,bear_medium,bear_high
2013-05-13,bear_high,bear_medium
2013-05-15,bear_medium,bear_high
2013-05-23,bear_high,bear_medium
2013-06-20,bear_medium,bear_high
2013-08-02,bear_high,bear_medium
2013-08-12,bear_medium,bear_high
2013-08-20,bear_high,bull_high
2013-08-21,bull_high,bull_medium
2013-08-29,bull_medium,bull_high
2013-10-11,bull_high,bear_high
2013-10-18,bear_high,bear_medium
2013-10-31,bear_medium,bear_high
2013-11-04,bear_high,bear_medium
2013-12-12,bear_medium,bear_high
2014-01-15,bear_high,bear_medium
2014-02-14,bear_medium,bull_medium
2014-04-03,bull_medium,bear_medium
2014-06-10,bear_medium,bear_low
2014-06-12,bear_low,bear_medium
2014-06-13,bear_medium,bear_low
2014-06-19,bear_low,bear_medium
2014-06-25,bear_medium,bull_medium
2014-08-19,bull_medium,bear_medium
2014-08-21,bear_medium,bear_low
2014-09-19,bear_low,bear_medium
2014-11-17,bear_medium,bear_high
2014-11-19,bear_high,bear_medium
2014-11-21,bear_medium,bear_high
2015-01-20,bear_high,bull_high
2015-02-27,bull_high,bull_medium
2015-03-02,bull_medium,bear_medium
2015-03-17,bear_medium,bear_low
2015-03-19,bear_low,bear_medium
2015-04-08,bear_medium,bear_high
2015-04-17,bear_high,bull_medium
2015-04-23,bull_medium,bear_medium
2015-05-13,bear_medium,bear_high
2015-05-14,bear_high,bull_high
2015-05-18,bull_high,bull_medium
2015-05-19,bull_medium,bull_high
2015-05-26,bull_high,bull_medium
