,mst_stress_60d,ricci_mean_60d,ricci_min_60d,ricci_p10_60d,ricci_std_60d,mst_stress_core_60d,ricci_mean_core_60d,ricci_min_core_60d,ricci_p10_core_60d,ricci_std_core_60d,dist_silver_gold_60d,corr_silver_gold_60d,dist_silver_dxy_60d,corr_silver_dxy_60d,ga_rotor_magnitude_60d,ga_bivector_energy_60d
mst_stress_60d,1.0,-0.7285293915191047,-0.4077029029722212,0.4933282826822292,-0.8307909219097535,0.4582435750163683,-0.11888546767741626,0.048877704842004176,0.4371879644181009,-0.494189401290961,-0.28203503017831455,0.2896826220290565,-0.13875704721537857,0.1449916974037543,-0.020021761735475683,-0.27636499456708663
ricci_mean_60d,-0.7285293915191047,1.0,0.5655397525768746,-0.2928365525136323,0.7945888441815265,-0.5236364890851225,0.25654050953527,0.17032467142867444,-0.3548745007136679,0.5744815581917767,0.0009057751364962994,-0.008634686126501642,0.21504408206097317,-0.2175395899644326,0.013682861870769872,0.12367636780704103
ricci_min_60d,-0.4077029029722212,0.5655397525768746,1.0,-0.09319228060410528,0.4822010950541869,-0.6053877904898466,0.32075845086173393,0.06938283249588412,-0.1999321322369962,0.5032420681251666,-0.13735750797341706,0.1331393895492423,0.021206696700482378,-0.01988870641653425,0.056680058565652336,0.04314232985535243
ricci_p10_60d,0.4933282826822292,-0.2928365525136323,-0.09319228060410528,1.0,-0.7245170094765203,0.5247594097808529,0.18268164084141889,-0.10660401162136608,0.5436244012767526,-0.5726429239999966,-0.05417367762238127,0.0426343978882398,-0.3836629327291901,0.3878931271269891,0.021528721949221032,-0.09735574456900235
ricci_std_60d,-0.8307909219097535,0.7945888441815265,0.4822010950541869,-0.7245170094765203,1.0,-0.6593577127615483,0.04946775276190807,0.055329378224448986,-0.5974820288891451,0.7447809981785779,0.05607535207907805,-0.05917017634839305,0.2754613880704979,-0.2818722202067807,0.0002130036019579844,0.18942910693920773
mst_stress_core_60d,0.4582435750163683,-0.5236364890851225,-0.6053877904898466,0.5247594097808529,-0.6593577127615483,1.0,-0.4114470331029168,-0.20825206600386892,0.36022767751386314,-0.806626606212439,0.3189738234078726,-0.31419679238460996,-0.11654356602669098,0.12016166677799904,0.007453063622483175,0.03646042638303007
ricci_mean_core_60d,-0.11888546767741626,0.25654050953527,0.32075845086173393,0.18268164084141889,0.04946775276190807,-0.4114470331029168,1.0,0.19066779138855822,0.4861222876958314,0.07081863557545695,-0.13401108976137144,0.11317246397602611,-0.4810882719391235,0.48227139641942224,-0.014971194729577525,-0.003089010943475794
ricci_min_core_60d,0.048877704842004176,0.17032467142867444,0.06938283249588412,-0.10660401162136608,0.055329378224448986,-0.20825206600386892,0.19066779138855822,1.0,0.01720472743524877,0.03704697033144726,-0.11553613424912867,0.12919007184252693,0.29391255807276184,-0.29302791420734403,-0.04225363209499385,-0.16087962761102811
ricci_p10_core_60d,0.4371879644181009,-0.3548745007136679,-0.1999321322369962,0.5436244012767526,-0.5974820288891451,0.36022767751386314,0.4861222876958314,0.01720472743524877,1.0,-0.6538984996199272,-0.07995387233710992,0.07493009466212888,-0.458373186593773,0.4693584580385623,0.004383263119204841,-0.06458777622596867
ricci_std_core_60d,-0.494189401290961,0.5744815581917767,0.5032420681251666,-0.5726429239999966,0.7447809981785779,-0.806626606212439,0.07081863557545695,0.03704697033144726,-0.6538984996199272,1.0,-0.31894955725448815,0.309515444557783,0.2968532219698668,-0.3076791991119617,0.0031957106430442906,-0.04635824149841858
dist_silver_gold_60d,-0.28203503017831455,0.0009057751364962994,-0.13735750797341706,-0.05417367762238127,0.05607535207907805,0.3189738234078726,-0.13401108976137144,-0.11553613424912867,-0.07995387233710992,-0.31894955725448815,1.0,-0.9911696161913066,-0.17027637122072126,0.17627858143218297,-0.014957563986326807,0.1973539767778562
corr_silver_gold_60d,0.2896826220290565,-0.008634686126501642,0.1331393895492423,0.0426343978882398,-0.05917017634839305,-0.31419679238460996,0.11317246397602611,0.12919007184252693,0.07493009466212888,0.309515444557783,-0.9911696161913066,1.0,0.18260192075758233,-0.18885444748501148,0.009239173739614923,-0.2062094143507632
dist_silver_dxy_60d,-0.13875704721537857,0.21504408206097317,0.021206696700482378,-0.3836629327291901,0.2754613880704979,-0.11654356602669098,-0.4810882719391235,0.29391255807276184,-0.458373186593773,0.2968532219698668,-0.17027637122072126,0.18260192075758233,1.0,-0.9990246330335248,0.023367696816442515,-0.005021654308011123
corr_silver_dxy_60d,0.1449916974037543,-0.2175395899644326,-0.01988870641653425,0.3878931271269891,-0.2818722202067807,0.12016166677799904,0.48227139641942224,-0.29302791420734403,0.4693584580385623,-0.3076791991119617,0.17627858143218297,-0.18885444748501148,-0.9990246330335248,1.0,-0.021177676951697328,0.0032531803272200523
ga_rotor_magnitude_60d,-0.020021761735475683,0.013682861870769872,0.056680058565652336,0.021528721949221032,0.0002130036019579844,0.007453063622483175,-0.014971194729577525,-0.04225363209499385,0.004383263119204841,0.0031957106430442906,-0.014957563986326807,0.009239173739614923,0.023367696816442515,-0.021177676951697328,1.0,0.02531882178347466
ga_bivector_energy_60d,-0.27636499456708663,0.12367636780704103,0.04314232985535243,-0.09735574456900235,0.18942910693920773,0.03646042638303007,-0.003089010943475794,-0.16087962761102811,-0.06458777622596867,-0.04635824149841858,0.1973539767778562,-0.2062094143507632,-0.005021654308011123,0.0032531803272200523,0.02531882178347466,1.0
